datetime,temp,pres,dewpt,wind_spd,wind_dir,precip,snow,clouds,rh,solar_rad,uv,vis,pod,timestamp_utc,timestamp_local,description
2022-01-01 00:00:00,-3.0,809.7,-3.0,4.6,60,0.5,10.0,100,100,0,0.0,1,n,2022-01-01 00:00:00,2021-12-31 17:00:00,Light snow
2022-01-01 01:00:00,-3.0,814.9,-4.1,5.1,40,0.5,10.0,100,92,0,0.0,1,n,2022-01-01 01:00:00,2021-12-31 18:00:00,Light snow
2022-01-01 02:00:00,-7.0,814.9,-8.1,5.7,350,1.0,25.0,100,92,0,0.0,1,n,2022-01-01 02:00:00,2021-12-31 19:00:00,Light snow
2022-01-01 03:00:00,-8.0,814.9,-9.1,4.1,360,1.0,30.0,100,92,0,0.0,2,n,2022-01-01 03:00:00,2021-12-31 20:00:00,Light snow
2022-01-01 04:00:00,-9.0,814.9,-10.1,2.1,10,1.0,30.0,100,92,0,0.0,2,n,2022-01-01 04:00:00,2021-12-31 21:00:00,Light snow
2022-01-01 05:00:00,-8.0,814.9,-10.1,2.6,30,0.5,15.0,100,85,0,0.0,3,n,2022-01-01 05:00:00,2021-12-31 22:00:00,Light snow
2022-01-01 06:00:00,-9.0,814.9,-10.1,3.6,360,0.5,15.0,100,92,0,0.0,3,n,2022-01-01 06:00:00,2021-12-31 23:00:00,Light snow
2022-01-01 07:00:00,-10.0,814.9,-12.0,4.1,50,0.0,0.0,100,85,0,0.0,5,n,2022-01-01 07:00:00,2022-01-01 00:00:00,Overcast clouds
2022-01-01 08:00:00,-11.0,815.2,-13.0,3.1,30,0.5,15.0,100,85,0,0.0,3,n,2022-01-01 08:00:00,2022-01-01 01:00:00,Light snow
2022-01-01 09:00:00,-12.0,816.0,-14.0,2.6,10,0.0,0.0,100,85,0,0.0,8,n,2022-01-01 09:00:00,2022-01-01 02:00:00,Overcast clouds
2022-01-01 10:00:00,-12.0,816.0,-14.0,2.1,30,0.0,0.0,100,85,0,0.0,4,n,2022-01-01 10:00:00,2022-01-01 03:00:00,Overcast clouds
2022-01-01 11:00:00,-14.0,815.4,-15.0,1.5,40,0.0,0.0,100,92,0,0.0,11,n,2022-01-01 11:00:00,2022-01-01 04:00:00,Overcast clouds
2022-01-01 12:00:00,-14.0,816.0,-16.1,2.1,40,0.0,0.0,100,84,0,0.0,11,n,2022-01-01 12:00:00,2022-01-01 05:00:00,Overcast clouds
2022-01-01 13:00:00,-14.0,816.3,-16.1,2.1,40,0.0,0.0,100,84,0,0.0,3,n,2022-01-01 13:00:00,2022-01-01 06:00:00,Overcast clouds
2022-01-01 14:00:00,-15.0,817.2,-17.1,2.1,20,0.5,15.0,100,84,0,0.0,3,n,2022-01-01 14:00:00,2022-01-01 07:00:00,Light snow
2022-01-01 15:00:00,-16.0,818.3,-17.1,1.5,30,0.5,15.0,100,91,43,0.4,3,d,2022-01-01 15:00:00,2022-01-01 08:00:00,Light snow
2022-01-01 16:00:00,-15.0,819.7,-17.1,0.8,25,0.5,15.0,100,84,85,0.4,3,d,2022-01-01 16:00:00,2022-01-01 09:00:00,Light snow
2022-01-01 17:00:00,-14.0,821.4,-17.0,2.0,15,0.0,0.0,100,78,112,0.6,2,d,2022-01-01 17:00:00,2022-01-01 10:00:00,Haze
2022-01-01 18:00:00,-14.0,820.9,-17.0,2.6,10,0.0,0.0,100,78,128,0.7,2,d,2022-01-01 18:00:00,2022-01-01 11:00:00,Haze
2022-01-01 19:00:00,-13.0,820.6,-17.1,1.6,45,0.5,15.0,87,71,198,0.8,5,d,2022-01-01 19:00:00,2022-01-01 12:00:00,Light snow
2022-01-01 20:00:00,-13.0,820.6,-17.1,0.8,75,0.0,0.0,87,71,187,0.7,6,d,2022-01-01 20:00:00,2022-01-01 13:00:00,Overcast clouds
2022-01-01 21:00:00,-12.0,820.9,-16.0,1.2,110,0.0,0.0,87,72,152,0.6,8,d,2022-01-01 21:00:00,2022-01-01 14:00:00,Overcast clouds
2022-01-01 22:00:00,-12.0,821.2,-16.0,0.8,140,0.0,0.0,50,72,204,1.0,16,d,2022-01-01 22:00:00,2022-01-01 15:00:00,Broken clouds
2022-01-01 23:00:00,-12.0,821.4,-16.0,1.2,175,0.0,0.0,50,72,71,1.1,16,d,2022-01-01 23:00:00,2022-01-01 16:00:00,Broken clouds
2022-01-02 00:00:00,-13.0,821.7,-15.1,1.6,205,0.0,0.0,50,84,0,0.0,16,n,2022-01-02 00:00:00,2022-01-01 17:00:00,Broken clouds
2022-01-02 01:00:00,-15.0,822.6,-17.1,1.5,240,0.0,0.0,50,84,0,0.0,16,n,2022-01-02 01:00:00,2022-01-01 18:00:00,Broken clouds
2022-01-02 02:00:00,-16.0,822.9,-18.1,3.6,220,0.0,0.0,50,84,0,0.0,16,n,2022-01-02 02:00:00,2022-01-01 19:00:00,Broken clouds
2022-01-02 03:00:00,-16.0,823.2,-17.1,3.6,240,0.0,0.0,25,91,0,0.0,16,n,2022-01-02 03:00:00,2022-01-01 20:00:00,Scattered clouds
2022-01-02 04:00:00,-17.0,823.4,-18.1,2.1,200,0.0,0.0,25,91,0,0.0,16,n,2022-01-02 04:00:00,2022-01-01 21:00:00,Scattered clouds
2022-01-02 05:00:00,-14.0,823.7,-16.1,1.5,130,0.0,0.0,0,84,0,0.0,16,n,2022-01-02 05:00:00,2022-01-01 22:00:00,Clear Sky
2022-01-02 06:00:00,-11.0,823.7,-13.0,2.6,240,0.0,0.0,0,85,0,0.0,16,n,2022-01-02 06:00:00,2022-01-01 23:00:00,Clear Sky
2022-01-02 07:00:00,-8.0,823.7,-18.1,3.1,230,0.0,0.0,0,44,0,0.0,16,n,2022-01-02 07:00:00,2022-01-02 00:00:00,Clear Sky
2022-01-02 08:00:00,-6.0,823.7,-18.0,6.2,290,0.0,0.0,0,38,0,0.0,16,n,2022-01-02 08:00:00,2022-01-02 01:00:00,Clear Sky
2022-01-02 09:00:00,-7.0,824.3,-18.0,4.0,250,0.0,0.0,0,41,0,0.0,16,n,2022-01-02 09:00:00,2022-01-02 02:00:00,Clear Sky
2022-01-02 10:00:00,-9.0,824.0,-18.0,2.6,210,0.0,0.0,0,48,0,0.0,16,n,2022-01-02 10:00:00,2022-01-02 03:00:00,Clear Sky
2022-01-02 11:00:00,-9.0,824.3,-18.0,2.1,280,0.0,0.0,0,48,0,0.0,16,n,2022-01-02 11:00:00,2022-01-02 04:00:00,Clear Sky
2022-01-02 12:00:00,-5.0,825.2,-16.2,1.5,180,0.0,0.0,0,41,0,0.0,16,n,2022-01-02 12:00:00,2022-01-02 05:00:00,Clear Sky
2022-01-02 13:00:00,-5.0,826.0,-16.2,4.0,235,0.0,0.0,25,41,0,0.0,16,n,2022-01-02 13:00:00,2022-01-02 06:00:00,Scattered clouds
2022-01-02 14:00:00,-3.0,826.3,-14.1,8.8,290,0.0,0.0,25,42,0,0.0,16,n,2022-01-02 14:00:00,2022-01-02 07:00:00,Scattered clouds
2022-01-02 15:00:00,-2.0,826.9,-14.1,7.2,300,0.0,0.0,25,39,58,1.3,16,d,2022-01-02 15:00:00,2022-01-02 08:00:00,Scattered clouds
2022-01-02 16:00:00,-1.0,827.7,-13.2,6.2,290,0.0,0.0,25,39,203,1.4,16,d,2022-01-02 16:00:00,2022-01-02 09:00:00,Scattered clouds
2022-01-02 17:00:00,0.5,828.3,-11.5,4.4,250,0.0,0.0,25,40,330,1.8,16,d,2022-01-02 17:00:00,2022-01-02 10:00:00,Scattered clouds
2022-01-02 18:00:00,2.0,828.9,-10.2,2.6,210,0.0,0.0,25,40,415,2.3,16,d,2022-01-02 18:00:00,2022-01-02 11:00:00,Scattered clouds
2022-01-02 19:00:00,3.0,828.6,-7.2,2.8,180,0.0,0.0,25,47,448,2.5,16,d,2022-01-02 19:00:00,2022-01-02 12:00:00,Scattered clouds
2022-01-02 20:00:00,3.0,828.3,-7.2,2.6,150,0.0,0.0,50,47,391,2.3,16,d,2022-01-02 20:00:00,2022-01-02 13:00:00,Broken clouds
2022-01-02 21:00:00,5.0,828.6,-7.1,2.6,210,0.0,0.0,25,41,346,1.9,16,d,2022-01-02 21:00:00,2022-01-02 14:00:00,Scattered clouds
2022-01-02 22:00:00,6.0,828.6,-7.2,2.1,220,0.0,0.0,25,38,224,1.5,16,d,2022-01-02 22:00:00,2022-01-02 15:00:00,Scattered clouds
2022-01-02 23:00:00,5.0,828.75,-8.1,1.8,230,0.0,0.0,25,38,79,1.3,16,d,2022-01-02 23:00:00,2022-01-02 16:00:00,Scattered clouds
