datetime,temp,pres,dewpt,wind_spd,wind_dir,precip,snow,clouds,rh,solar_rad,uv,vis,pod,timestamp_utc,timestamp_local,description
2022-01-01 00:00:00,10.0,1013.1,8.3,2.1,210,0.0,0.0,100,89,0,0.0,11,n,2022-01-01 00:00:00,2021-12-31 19:00:00,Overcast clouds
2022-01-01 01:00:00,10.6,1013.1,8.2,1.5,160,0.0,0.0,100,85,0,0.0,10,n,2022-01-01 01:00:00,2021-12-31 20:00:00,Overcast clouds
2022-01-01 02:00:00,10.0,1012.8,8.3,2.0,160,0.0,0.0,100,89,0,0.0,10,n,2022-01-01 02:00:00,2021-12-31 21:00:00,Overcast clouds
2022-01-01 03:00:00,10.0,1012.5,8.3,2.0,160,0.0,0.0,100,89,0,0.0,10,n,2022-01-01 03:00:00,2021-12-31 22:00:00,Overcast clouds
2022-01-01 04:00:00,10.0,1012.1,8.3,2.1,160,0.0,0.0,100,89,0,0.0,11,n,2022-01-01 04:00:00,2021-12-31 23:00:00,Overcast clouds
2022-01-01 05:00:00,10.0,1012.1,8.8,3.1,180,0.0,0.0,100,92,0,0.0,11,n,2022-01-01 05:00:00,2022-01-01 00:00:00,Overcast clouds
2022-01-01 06:00:00,10.0,1011.6,9.4,2.1,140,0.0,0.0,100,96,0,0.0,6,n,2022-01-01 06:00:00,2022-01-01 01:00:00,Overcast clouds
2022-01-01 07:00:00,10.0,1011.4,9.4,1.6,105,0.5,0.0,100,96,0,0.0,8,n,2022-01-01 07:00:00,2022-01-01 02:00:00,Overcast clouds
2022-01-01 08:00:00,10.0,1010.8,8.8,2.1,70,0.0,0.0,100,92,0,0.0,10,n,2022-01-01 08:00:00,2022-01-01 03:00:00,Overcast clouds
2022-01-01 09:00:00,10.0,1010.1,9.4,2.6,160,0.0,0.0,100,96,0,0.0,8,n,2022-01-01 09:00:00,2022-01-01 04:00:00,Overcast clouds
2022-01-01 10:00:00,10.0,1009.4,9.4,2.0,145,0.0,0.0,100,96,0,0.0,6,n,2022-01-01 10:00:00,2022-01-01 05:00:00,Overcast clouds
2022-01-01 11:00:00,9.4,1009.1,9.4,2.0,130,0.0,0.0,100,100,0,0.0,5,n,2022-01-01 11:00:00,2022-01-01 06:00:00,Fog
2022-01-01 12:00:00,10.0,1009.3,10.0,1.6,115,0.25,0.0,100,100,0,0.0,6,n,2022-01-01 12:00:00,2022-01-01 07:00:00,Fog
2022-01-01 13:00:00,10.0,1008.7,9.4,1.5,100,0.5,0.0,100,96,43,0.4,5,d,2022-01-01 13:00:00,2022-01-01 08:00:00,Overcast clouds
2022-01-01 14:00:00,10.6,1009.4,10.0,4.6,200,3.0,0.0,100,96,59,0.4,11,d,2022-01-01 14:00:00,2022-01-01 09:00:00,Light rain
2022-01-01 15:00:00,11.1,1009.8,10.5,3.1,210,3.0,0.0,100,96,78,0.6,6,d,2022-01-01 15:00:00,2022-01-01 10:00:00,Light rain
