datetime,temp,pres,dewpt,wind_spd,wind_dir,precip,snow,clouds,rh,solar_rad,uv,vis,pod,timestamp_utc,timestamp_local,description
2022-01-01 00:00:00,12.4,1009.82294,10.1,1.5,160,0.5,0.0,100,86,0,0.0,,n,2022-01-01 00:00:00,2021-12-31 19:00:00,Overcast clouds
2022-01-01 01:00:00,13.3,1002.5,11.2,0.5,130,0.0,0.0,100,87,0,0.0,2.0,n,2022-01-01 01:00:00,2021-12-31 20:00:00,Haze
2022-01-01 02:00:00,13.1,1002.2,11.0,2.6,160,3.0,0.0,100,87,0,0.0,2.0,n,2022-01-01 02:00:00,2021-12-31 21:00:00,Light rain
2022-01-01 03:00:00,13.3,1002.2,12.2,1.5,220,0.5,0.0,100,93,0,0.0,10.0,n,2022-01-01 03:00:00,2021-12-31 22:00:00,Overcast clouds
2022-01-01 04:00:00,12.8,1002.2,11.7,2.1,160,0.5,0.0,100,93,0,0.0,10.0,n,2022-01-01 04:00:00,2021-12-31 23:00:00,Overcast clouds
2022-01-01 05:00:00,12.2,1001.5,10.1,1.0,150,0.0,0.0,100,87,0,0.0,10.0,n,2022-01-01 05:00:00,2022-01-01 00:00:00,Overcast clouds
2022-01-01 06:00:00,12.7,1000.5,10.6,0.5,290,0.0,0.0,100,87,0,0.0,0.0,n,2022-01-01 06:00:00,2022-01-01 01:00:00,Haze
2022-01-01 07:00:00,12.6,1000.8,10.5,2.6,190,0.0,0.0,100,87,0,0.0,0.0,n,2022-01-01 07:00:00,2022-01-01 02:00:00,Haze
2022-01-01 08:00:00,11.8,1000.5,10.7,1.5,180,0.0,0.0,100,93,0,0.0,0.0,n,2022-01-01 08:00:00,2022-01-01 03:00:00,Haze
2022-01-01 09:00:00,12.4,1000.2,11.3,2.6,180,0.0,0.0,100,93,0,0.0,0.0,n,2022-01-01 09:00:00,2022-01-01 04:00:00,Haze
2022-01-01 10:00:00,12.6,999.5,11.5,1.5,170,0.0,0.0,100,93,0,0.0,0.0,n,2022-01-01 10:00:00,2022-01-01 05:00:00,Haze
2022-01-01 11:00:00,12.5,999.1,11.4,1.5,190,1.25,0.0,100,93,0,0.0,0.0,n,2022-01-01 11:00:00,2022-01-01 06:00:00,Light rain
2022-01-01 12:00:00,13.1,999.5,11.0,1.5,170,4.75,0.0,100,87,0,0.0,2.0,n,2022-01-01 12:00:00,2022-01-01 07:00:00,Moderate rain
2022-01-01 13:00:00,12.2,1000.2,11.1,1.5,190,7.5,0.0,100,93,21,0.4,2.0,d,2022-01-01 13:00:00,2022-01-01 08:00:00,Heavy rain
2022-01-01 14:00:00,13.3,1000.2,11.2,0.5,140,12.0,0.0,100,87,32,0.4,2.0,d,2022-01-01 14:00:00,2022-01-01 09:00:00,Heavy rain
2022-01-01 15:00:00,13.7,1000.5,12.6,0.8,145,3.0,0.0,100,93,77,0.6,2.0,d,2022-01-01 15:00:00,2022-01-01 10:00:00,Light rain
2022-01-01 16:00:00,13.9,999.1,12.8,0.4,150,3.0,0.0,100,93,89,0.7,2.0,d,2022-01-01 16:00:00,2022-01-01 11:00:00,Light rain
2022-01-01 17:00:00,14.3,998.1,13.2,1.2,155,3.0,0.0,100,93,94,0.8,2.0,d,2022-01-01 17:00:00,2022-01-01 12:00:00,Light rain
2022-01-01 18:00:00,14.3,996.8,13.2,1.5,160,0.25,0.0,100,93,120,0.8,2.0,d,2022-01-01 18:00:00,2022-01-01 13:00:00,Haze
2022-01-01 19:00:00,15.6,995.4,13.4,2.8,155,0.0,0.0,100,87,108,0.6,2.0,d,2022-01-01 19:00:00,2022-01-01 14:00:00,Haze
2022-01-01 20:00:00,14.9,994.7,12.8,2.4,150,0.0,0.0,100,87,88,0.5,0.0,d,2022-01-01 20:00:00,2022-01-01 15:00:00,Haze
2022-01-01 21:00:00,15.0,994.4,12.9,1.6,145,0.25,0.0,100,87,55,0.4,0.0,d,2022-01-01 21:00:00,2022-01-01 16:00:00,Haze
2022-01-01 22:00:00,16.1,994.1,15.0,1.0,140,0.25,0.0,100,93,0,0.0,10.0,n,2022-01-01 22:00:00,2022-01-01 17:00:00,Overcast clouds
2022-01-01 23:00:00,15.7,993.4,13.7,2.0,120,0.0,0.0,100,88,0,0.0,10.0,n,2022-01-01 23:00:00,2022-01-01 18:00:00,Overcast clouds
2022-01-02 00:00:00,15.2,992.7,13.1,0.5,100,1.0,0.0,100,87,0,0.0,10.0,n,2022-01-02 00:00:00,2022-01-01 19:00:00,Light rain
2022-01-02 01:00:00,15.6,991.7,14.5,1.0,160,2.0,0.0,100,93,0,0.0,10.0,n,2022-01-02 01:00:00,2022-01-01 20:00:00,Light rain
2022-01-02 02:00:00,16.3,990.0,15.2,3.6,310,0.5,0.0,75,93,0,0.0,10.0,n,2022-01-02 02:00:00,2022-01-01 21:00:00,Overcast clouds
2022-01-02 03:00:00,16.3,991.7,14.3,2.1,350,3.0,0.0,100,88,0,0.0,10.0,n,2022-01-02 03:00:00,2022-01-01 22:00:00,Light rain
2022-01-02 04:00:00,14.9,992.0,12.8,1.5,250,0.75,0.0,100,87,0,0.0,2.0,n,2022-01-02 04:00:00,2022-01-01 23:00:00,Light rain
2022-01-02 05:00:00,14.7,992.4,12.6,2.6,310,0.75,0.0,100,87,0,0.0,2.0,n,2022-01-02 05:00:00,2022-01-02 00:00:00,Light rain
2022-01-02 06:00:00,13.5,991.7,11.4,1.0,270,2.75,0.0,45,87,0,0.0,2.0,n,2022-01-02 06:00:00,2022-01-02 01:00:00,Light rain
2022-01-02 07:00:00,13.2,992.4,12.1,2.4,215,3.75,0.0,75,93,0,0.0,2.0,n,2022-01-02 07:00:00,2022-01-02 02:00:00,Light rain
2022-01-02 08:00:00,11.6,993.0,10.5,1.5,160,3.0,0.0,100,93,0,0.0,2.0,n,2022-01-02 08:00:00,2022-01-02 03:00:00,Light rain
2022-01-02 09:00:00,13.8,992.7,12.7,2.1,140,5.5,0.0,100,93,0,0.0,2.0,n,2022-01-02 09:00:00,2022-01-02 04:00:00,Moderate rain
2022-01-02 10:00:00,12.0,992.4,10.9,3.1,170,3.0,0.0,100,93,0,0.0,2.0,n,2022-01-02 10:00:00,2022-01-02 05:00:00,Light rain
2022-01-02 11:00:00,14.0,990.7,11.9,2.4,210,3.0,0.0,100,87,0,0.0,2.0,n,2022-01-02 11:00:00,2022-01-02 06:00:00,Light rain
2022-01-02 12:00:00,14.4,991.7,11.4,1.5,250,1.5,0.0,100,82,0,0.0,2.0,n,2022-01-02 12:00:00,2022-01-02 07:00:00,Light rain
2022-01-02 13:00:00,14.2,992.7,12.1,1.5,160,0.75,0.0,100,87,37,0.4,10.0,d,2022-01-02 13:00:00,2022-01-02 08:00:00,Light rain
2022-01-02 14:00:00,13.0,994.1,11.9,1.5,200,1.0,0.0,100,93,77,0.4,10.0,d,2022-01-02 14:00:00,2022-01-02 09:00:00,Light rain
2022-01-02 15:00:00,12.4,996.1,11.3,2.1,190,0.25,0.0,75,93,206,0.6,10.0,d,2022-01-02 15:00:00,2022-01-02 10:00:00,Overcast clouds
2022-01-02 16:00:00,14.1,995.8,13.0,1.0,120,0.0,0.0,75,93,263,0.7,10.0,d,2022-01-02 16:00:00,2022-01-02 11:00:00,Overcast clouds
2022-01-02 17:00:00,15.2,995.8,12.1,2.1,190,0.5,0.0,75,82,289,0.8,10.0,d,2022-01-02 17:00:00,2022-01-02 12:00:00,Overcast clouds
2022-01-02 18:00:00,14.0,995.4,11.9,2.6,180,0.5,0.0,25,87,425,0.8,10.0,d,2022-01-02 18:00:00,2022-01-02 13:00:00,Scattered clouds
2022-01-02 19:00:00,14.6,995.4,12.5,2.6,180,1.0,0.0,75,87,232,0.6,10.0,d,2022-01-02 19:00:00,2022-01-02 14:00:00,Light rain
2022-01-02 20:00:00,15.5,995.8,12.4,3.6,240,0.25,0.0,75,82,158,0.5,10.0,d,2022-01-02 20:00:00,2022-01-02 15:00:00,Overcast clouds
2022-01-02 21:00:00,16.5,996.8,13.4,2.6,300,0.0,0.0,75,82,66,0.4,10.0,d,2022-01-02 21:00:00,2022-01-02 16:00:00,Overcast clouds
2022-01-02 22:00:00,16.2,997.8,10.1,2.6,310,0.0,0.0,100,67,0,0.0,10.0,n,2022-01-02 22:00:00,2022-01-02 17:00:00,Overcast clouds
2022-01-02 23:00:00,15.5,999.8,9.4,5.1,320,0.0,0.0,75,67,0,0.0,10.0,n,2022-01-02 23:00:00,2022-01-02 18:00:00,Overcast clouds
2022-01-03 00:00:00,14.0,1000.8,6.8,3.1,330,0.5,0.0,100,62,0,0.0,10.0,n,2022-01-03 00:00:00,2022-01-02 19:00:00,Overcast clouds
2022-01-03 01:00:00,12.0,1002.2,4.0,4.6,330,0.25,0.0,45,58,0,0.0,10.0,n,2022-01-03 01:00:00,2022-01-02 20:00:00,Broken clouds
2022-01-03 02:00:00,10.5,1003.2,2.4,5.7,330,0.0,0.0,100,57,0,0.0,10.0,n,2022-01-03 02:00:00,2022-01-02 21:00:00,Overcast clouds
2022-01-03 03:00:00,9.8,1003.9,1.7,2.1,350,0.25,0.0,100,57,0,0.0,10.0,n,2022-01-03 03:00:00,2022-01-02 22:00:00,Overcast clouds
2022-01-03 04:00:00,8.8,1004.9,1.7,3.6,360,1.0,0.0,100,61,0,0.0,10.0,n,2022-01-03 04:00:00,2022-01-02 23:00:00,Light rain
2022-01-03 05:00:00,8.1,1006.3,1.0,3.6,340,2.5,0.0,100,61,0,0.0,10.0,n,2022-01-03 05:00:00,2022-01-03 00:00:00,Light rain
2022-01-03 06:00:00,7.1,1006.6,1.0,3.1,350,3.25,0.0,100,65,0,0.0,2.0,n,2022-01-03 06:00:00,2022-01-03 01:00:00,Light rain
2022-01-03 07:00:00,5.9,1006.6,1.8,2.1,10,4.75,0.0,100,75,0,0.0,2.0,n,2022-01-03 07:00:00,2022-01-03 02:00:00,Moderate rain
2022-01-03 08:00:00,4.6,1007.3,0.6,2.6,20,3.0,0.0,100,75,0,0.0,2.0,n,2022-01-03 08:00:00,2022-01-03 03:00:00,Light rain
2022-01-03 09:00:00,3.3,1007.3,0.2,1.0,50,12.0,0.0,100,80,0,0.0,2.0,n,2022-01-03 09:00:00,2022-01-03 04:00:00,Heavy rain
2022-01-03 10:00:00,1.3,1007.3,-0.8,2.6,30,3.0,6.0,100,86,0,0.0,2.0,n,2022-01-03 10:00:00,2022-01-03 05:00:00,Mix snow/rain
2022-01-03 11:00:00,1.1,1006.6,-1.0,2.6,20,3.0,6.0,100,86,0,0.0,2.0,n,2022-01-03 11:00:00,2022-01-03 06:00:00,Mix snow/rain
2022-01-03 12:00:00,1.1,1006.3,-1.0,2.1,50,13.25,26.5,100,86,0,0.0,2.0,n,2022-01-03 12:00:00,2022-01-03 07:00:00,Mix snow/rain
2022-01-03 13:00:00,0.1,1007.3,-2.0,2.1,360,3.0,21.0,100,86,29,0.4,2.0,d,2022-01-03 13:00:00,2022-01-03 08:00:00,Snow
2022-01-03 14:00:00,0.1,1007.6,-1.0,4.8,185,4.0,28.0,100,92,59,0.4,2.0,d,2022-01-03 14:00:00,2022-01-03 09:00:00,Snow
2022-01-03 15:00:00,-0.1,1008.3,-1.2,2.1,10,4.0,48.0,100,92,82,0.6,2.0,d,2022-01-03 15:00:00,2022-01-03 10:00:00,Snow
2022-01-03 16:00:00,-0.4,1007.3,-1.5,4.8,15,2.0,24.0,100,92,115,0.7,2.0,d,2022-01-03 16:00:00,2022-01-03 11:00:00,Snow
2022-01-03 17:00:00,-1.1,1007.6,-1.1,6.0,20,2.0,34.0,100,100,122,0.8,2.0,d,2022-01-03 17:00:00,2022-01-03 12:00:00,Snow
2022-01-03 18:00:00,-1.3,1006.6,-1.3,6.4,25,1.0,17.0,100,100,138,0.8,2.0,d,2022-01-03 18:00:00,2022-01-03 13:00:00,Light snow
2022-01-03 19:00:00,-1.9,1006.9,-5.0,6.0,30,1.0,17.0,75,79,247,0.7,10.0,d,2022-01-03 19:00:00,2022-01-03 14:00:00,Light snow
2022-01-03 20:00:00,-2.1,1009.0,-6.1,5.2,35,0.0,0.0,45,74,239,1.5,10.0,d,2022-01-03 20:00:00,2022-01-03 15:00:00,Broken clouds
2022-01-03 21:00:00,0.7,1010.0,-4.5,4.4,40,0.0,0.0,39,68,104,1.2,10.0,d,2022-01-03 21:00:00,2022-01-03 16:00:00,Scattered clouds
2022-01-03 22:00:00,-0.6,1011.0,-6.8,3.2,45,0.0,0.0,0,63,0,0.0,10.0,n,2022-01-03 22:00:00,2022-01-03 17:00:00,Clear Sky
2022-01-03 23:00:00,-0.9,1012.4,-4.9,3.6,50,0.0,0.0,0,74,0,0.0,10.0,n,2022-01-03 23:00:00,2022-01-03 18:00:00,Clear Sky
2022-01-04 00:00:00,-0.7,1013.0,-6.8,3.2,50,0.0,0.0,0,63,0,0.0,10.0,n,2022-01-04 00:00:00,2022-01-03 19:00:00,Clear Sky
2022-01-04 01:00:00,-1.1,1014.0,-8.1,3.2,55,0.0,0.0,0,59,0,0.0,10.0,n,2022-01-04 01:00:00,2022-01-03 20:00:00,Clear Sky
2022-01-04 02:00:00,-1.6,1015.1,-7.7,2.8,60,0.0,0.0,0,63,0,0.0,10.0,n,2022-01-04 02:00:00,2022-01-03 21:00:00,Clear Sky
2022-01-04 03:00:00,-1.6,1016.1,-7.7,2.8,65,0.0,0.0,25,63,0,0.0,10.0,n,2022-01-04 03:00:00,2022-01-03 22:00:00,Scattered clouds
2022-01-04 04:00:00,-1.5,1016.4,-6.6,2.8,70,0.0,0.0,25,68,0,0.0,10.0,n,2022-01-04 04:00:00,2022-01-03 23:00:00,Scattered clouds
2022-01-04 05:00:00,-1.7,1017.1,-7.8,2.8,75,0.0,0.0,0,63,0,0.0,10.0,n,2022-01-04 05:00:00,2022-01-04 00:00:00,Clear Sky
2022-01-04 06:00:00,-1.8,1017.8,-7.9,2.8,80,0.0,0.0,0,63,0,0.0,10.0,n,2022-01-04 06:00:00,2022-01-04 01:00:00,Clear Sky
2022-01-04 07:00:00,-1.9,1018.4,-7.0,2.8,85,0.0,0.0,1,68,0,0.0,10.0,n,2022-01-04 07:00:00,2022-01-04 02:00:00,Clear Sky
2022-01-04 08:00:00,-2.1,1019.8,-8.2,3.2,90,0.0,0.0,0,63,0,0.0,10.0,n,2022-01-04 08:00:00,2022-01-04 03:00:00,Clear Sky
2022-01-04 09:00:00,-2.7,1020.1,-8.7,2.4,95,0.0,0.0,0,63,0,0.0,10.0,n,2022-01-04 09:00:00,2022-01-04 04:00:00,Clear Sky
2022-01-04 10:00:00,-2.6,1020.1,-7.7,1.6,100,0.0,0.0,0,68,0,0.0,10.0,n,2022-01-04 10:00:00,2022-01-04 05:00:00,Clear Sky
2022-01-04 11:00:00,-2.6,1020.5,-8.7,0.8,105,0.0,0.0,0,63,0,0.0,10.0,n,2022-01-04 11:00:00,2022-01-04 06:00:00,Clear Sky
2022-01-04 12:00:00,-2.8,1020.8,-8.8,0.8,110,0.0,0.0,0,63,0,0.0,10.0,n,2022-01-04 12:00:00,2022-01-04 07:00:00,Clear Sky
2022-01-04 13:00:00,-2.5,1021.5,-8.6,0.8,115,0.0,0.0,100,63,39,0.5,10.0,d,2022-01-04 13:00:00,2022-01-04 08:00:00,Overcast clouds
2022-01-04 14:00:00,-2.3,1021.8,-8.4,1.6,120,0.0,0.0,0,63,195,0.6,10.0,d,2022-01-04 14:00:00,2022-01-04 09:00:00,Clear Sky
2022-01-04 15:00:00,-1.2,1022.2,-7.3,1.2,125,0.0,0.0,0,63,329,1.8,10.0,d,2022-01-04 15:00:00,2022-01-04 10:00:00,Clear Sky
2022-01-04 16:00:00,-0.2,1022.5,-8.4,0.8,130,0.0,0.0,12,54,423,2.2,10.0,d,2022-01-04 16:00:00,2022-01-04 11:00:00,Few clouds
2022-01-04 17:00:00,0.3,1022.2,-6.8,0.8,130,0.0,0.0,19,59,463,2.4,10.0,d,2022-01-04 17:00:00,2022-01-04 12:00:00,Few clouds
2022-01-04 18:00:00,0.9,1021.2,-8.1,1.6,135,0.0,0.0,6,51,448,2.1,10.0,d,2022-01-04 18:00:00,2022-01-04 13:00:00,Few clouds
2022-01-04 19:00:00,1.3,1020.1,-6.7,2.4,140,0.0,0.0,27,55,372,1.9,10.0,d,2022-01-04 19:00:00,2022-01-04 14:00:00,Scattered clouds
2022-01-04 20:00:00,1.3,1020.1,-6.7,2.8,145,0.0,0.0,81,55,144,1.4,10.0,d,2022-01-04 20:00:00,2022-01-04 15:00:00,Overcast clouds
2022-01-04 21:00:00,1.9,1019.8,-5.2,2.0,150,0.0,0.0,23,59,109,1.2,10.0,d,2022-01-04 21:00:00,2022-01-04 16:00:00,Scattered clouds
2022-01-04 22:00:00,1.2,1019.5,-4.8,2.0,155,0.0,0.0,2,64,0,0.0,10.0,n,2022-01-04 22:00:00,2022-01-04 17:00:00,Few clouds
2022-01-04 23:00:00,0.6,1018.8,-4.4,2.4,160,0.0,0.0,6,69,0,0.0,10.0,n,2022-01-04 23:00:00,2022-01-04 18:00:00,Few clouds
2022-01-05 00:00:00,0.1,1017.8,-4.0,2.8,165,0.0,0.0,45,74,0,0.0,10.0,n,2022-01-05 00:00:00,2022-01-04 19:00:00,Broken clouds
2022-01-05 01:00:00,0.3,1017.4,-2.7,3.1,170,0.0,0.0,3,80,0,0.0,10.0,n,2022-01-05 01:00:00,2022-01-04 20:00:00,Few clouds
2022-01-05 02:00:00,-0.3,1017.1,-3.3,2.6,170,0.0,0.0,45,80,0,0.0,10.0,n,2022-01-05 02:00:00,2022-01-04 21:00:00,Broken clouds
2022-01-05 03:00:00,-0.8,1016.8,-3.8,2.1,140,0.0,0.0,40,80,0,0.0,10.0,n,2022-01-05 03:00:00,2022-01-04 22:00:00,Scattered clouds
2022-01-05 04:00:00,-1.2,1016.4,-4.2,1.0,140,0.0,0.0,45,80,0,0.0,10.0,n,2022-01-05 04:00:00,2022-01-04 23:00:00,Broken clouds
2022-01-05 05:00:00,-1.1,1015.4,-4.3,1.5,150,0.0,0.0,89,79,0,0.0,10.0,n,2022-01-05 05:00:00,2022-01-05 00:00:00,Overcast clouds
2022-01-05 06:00:00,-1.5,1014.4,-4.5,2.1,130,0.0,0.0,25,80,0,0.0,10.0,n,2022-01-05 06:00:00,2022-01-05 01:00:00,Scattered clouds
2022-01-05 07:00:00,-1.2,1013.7,-4.2,1.5,130,0.0,0.0,25,80,0,0.0,10.0,n,2022-01-05 07:00:00,2022-01-05 02:00:00,Scattered clouds
2022-01-05 08:00:00,-0.8,1013.4,-2.8,1.5,130,0.0,0.0,75,86,0,0.0,10.0,n,2022-01-05 08:00:00,2022-01-05 03:00:00,Overcast clouds
2022-01-05 09:00:00,-0.6,1011.3,-3.6,1.0,130,0.0,0.0,75,80,0,0.0,10.0,n,2022-01-05 09:00:00,2022-01-05 04:00:00,Overcast clouds
2022-01-05 10:00:00,0.4,1011.0,-2.6,3.1,180,0.0,0.0,100,80,0,0.0,10.0,n,2022-01-05 10:00:00,2022-01-05 05:00:00,Overcast clouds
2022-01-05 11:00:00,0.5,1009.3,-2.5,4.1,200,0.0,0.0,100,80,0,0.0,10.0,n,2022-01-05 11:00:00,2022-01-05 06:00:00,Overcast clouds
2022-01-05 12:00:00,1.3,1008.3,-2.8,4.1,200,1.75,3.5,100,74,0,0.0,10.0,n,2022-01-05 12:00:00,2022-01-05 07:00:00,Mix snow/rain
2022-01-05 13:00:00,1.5,1007.6,-2.6,5.7,190,0.25,0.5,100,74,39,0.4,10.0,d,2022-01-05 13:00:00,2022-01-05 08:00:00,Overcast clouds
2022-01-05 14:00:00,2.2,1006.9,-1.9,5.1,200,1.5,0.0,75,74,124,0.4,10.0,d,2022-01-05 14:00:00,2022-01-05 09:00:00,Light rain
2022-01-05 15:00:00,2.5,1005.6,-1.7,3.1,200,0.75,0.0,100,74,115,0.6,10.0,d,2022-01-05 15:00:00,2022-01-05 10:00:00,Light rain
2022-01-05 16:00:00,3.6,1004.6,-1.5,4.6,190,0.0,0.0,25,69,421,0.7,10.0,d,2022-01-05 16:00:00,2022-01-05 11:00:00,Scattered clouds
2022-01-05 17:00:00,4.2,1003.2,-1.0,4.6,200,0.0,0.0,100,69,142,0.8,10.0,d,2022-01-05 17:00:00,2022-01-05 12:00:00,Overcast clouds
2022-01-05 18:00:00,4.5,1001.2,-0.7,4.1,190,0.0,0.0,25,69,447,0.8,10.0,d,2022-01-05 18:00:00,2022-01-05 13:00:00,Scattered clouds
2022-01-05 19:00:00,4.7,1000.2,-0.5,2.1,210,0.0,0.0,45,69,356,0.6,10.0,d,2022-01-05 19:00:00,2022-01-05 14:00:00,Broken clouds
2022-01-05 20:00:00,5.0,999.5,-0.2,2.1,210,0.0,0.0,100,69,100,0.5,10.0,d,2022-01-05 20:00:00,2022-01-05 15:00:00,Overcast clouds
2022-01-05 21:00:00,5.0,999.1,0.9,2.6,190,0.0,0.0,100,75,62,0.4,10.0,d,2022-01-05 21:00:00,2022-01-05 16:00:00,Overcast clouds
2022-01-05 22:00:00,5.0,998.5,0.9,2.1,220,0.0,0.0,100,75,0,0.0,10.0,n,2022-01-05 22:00:00,2022-01-05 17:00:00,Overcast clouds
2022-01-05 23:00:00,5.0,998.1,1.8,1.5,210,0.0,0.0,100,80,0,0.0,10.0,n,2022-01-05 23:00:00,2022-01-05 18:00:00,Overcast clouds
2022-01-06 00:00:00,5.0,998.1,1.8,2.6,200,0.0,0.0,100,80,0,0.0,10.0,n,2022-01-06 00:00:00,2022-01-05 19:00:00,Overcast clouds
2022-01-06 01:00:00,4.7,998.1,1.6,1.5,210,0.0,0.0,100,80,0,0.0,10.0,n,2022-01-06 01:00:00,2022-01-05 20:00:00,Overcast clouds
2022-01-06 02:00:00,4.8,997.8,1.6,2.6,190,0.0,0.0,75,80,0,0.0,10.0,n,2022-01-06 02:00:00,2022-01-05 21:00:00,Overcast clouds
2022-01-06 03:00:00,4.8,997.8,1.6,2.1,190,0.0,0.0,80,80,0,0.0,10.0,n,2022-01-06 03:00:00,2022-01-05 22:00:00,Overcast clouds
2022-01-06 04:00:00,5.1,998.1,1.9,2.1,180,0.0,0.0,96,80,0,0.0,10.0,n,2022-01-06 04:00:00,2022-01-05 23:00:00,Overcast clouds
2022-01-06 05:00:00,5.0,997.8,1.8,1.5,140,0.0,0.0,60,80,0,0.0,10.0,n,2022-01-06 05:00:00,2022-01-06 00:00:00,Broken clouds
2022-01-06 06:00:00,5.0,998.1,0.9,2.1,130,0.0,0.0,97,75,0,0.0,10.0,n,2022-01-06 06:00:00,2022-01-06 01:00:00,Overcast clouds
2022-01-06 07:00:00,4.7,998.5,-0.3,3.2,195,0.0,0.0,0,70,0,0.0,10.0,n,2022-01-06 07:00:00,2022-01-06 02:00:00,Clear Sky
