Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,1/1/2022,1282,N4901U,IAD,23:10,0:01,70,76,51,23:55,6,23,0,6,0,22
UA,1/2/2022,1282,N4901U,IAD,23:10,23:27,70,64,17,23:19,8,17,0,0,0,0
UA,1/3/2022,1282,N893UA,IAD,23:10,23:31,70,68,21,23:25,6,21,0,0,0,0
UA,1/4/2022,1282,N814UA,IAD,23:44,1:59,69,89,135,1:55,4,115,0,20,0,0
UA,1/5/2022,1282,N827UA,IAD,23:44,23:30,69,61,-14,23:25,5,0,0,0,0,0
UA,1/6/2022,1282,N485UA,IAD,23:44,23:45,69,66,1,23:38,7,0,0,0,0,0
UA,1/7/2022,1282,N423UA,IAD,23:44,0:01,69,78,17,23:52,9,8,0,9,0,0
UA,1/8/2022,1282,N893UA,IAD,23:44,23:38,69,63,-6,23:33,5,0,0,0,0,0
UA,1/9/2022,1282,N854UA,IAD,23:44,1:26,69,72,102,1:19,7,99,0,3,0,0
UA,1/10/2022,1282,N810UA,IAD,23:44,0:14,69,77,30,0:08,6,0,22,8,0,0
UA,1/11/2022,1282,N880UA,IAD,23:44,23:26,69,59,-18,23:18,8,0,0,0,0,0
UA,1/12/2022,1282,N871UA,IAD,23:44,23:30,69,67,-14,23:24,6,0,0,0,0,0
UA,1/13/2022,1282,N845UA,IAD,23:44,23:41,69,60,-3,23:37,4,0,0,0,0,0
UA,1/14/2022,1282,N469UA,IAD,23:44,23:37,69,72,-7,23:24,13,0,0,0,0,0
UA,1/15/2022,1282,N818UA,IAD,23:44,23:36,69,64,-8,23:31,5,0,0,0,0,0
UA,1/16/2022,1282,,IAD,23:44,0:00,69,0,0,0:00,0,0,0,0,0,0
UA,1/17/2022,1282,N420UA,IAD,23:44,23:55,69,75,11,23:50,5,0,0,0,0,0
UA,1/18/2022,1282,N833UA,IAD,23:44,23:36,69,66,-8,23:30,6,0,0,0,0,0
UA,1/19/2022,1282,N877UA,IAD,23:44,23:35,69,68,-9,23:30,5,0,0,0,0,0
UA,1/20/2022,1282,N825UA,IAD,23:44,23:25,69,65,-19,23:20,5,0,0,0,0,0
UA,1/21/2022,1282,N416UA,IAD,23:44,23:28,69,63,-16,23:23,5,0,0,0,0,0
UA,1/22/2022,1282,N803UA,IAD,23:44,0:05,69,64,21,23:59,6,21,0,0,0,0
UA,1/23/2022,1282,N489UA,IAD,23:44,0:04,69,95,20,23:31,33,0,0,20,0,0
UA,1/24/2022,1282,N449UA,IAD,23:44,23:28,69,66,-16,23:23,5,0,0,0,0,0
UA,1/25/2022,1282,N490UA,IAD,23:44,23:33,69,68,-11,23:24,9,0,0,0,0,0
UA,1/26/2022,1282,N827UA,IAD,23:44,23:33,69,70,-11,23:28,5,0,0,0,0,0
UA,1/27/2022,1282,N414UA,IAD,23:44,23:28,69,67,-16,23:22,6,0,0,0,0,0
UA,1/28/2022,1282,N421UA,IAD,23:44,23:50,69,75,6,23:46,4,0,0,0,0,0
UA,1/29/2022,1282,N469UA,IAD,23:44,23:36,69,75,-8,23:30,6,0,0,0,0,0
UA,1/30/2022,1282,N828UA,IAD,23:44,23:37,69,69,-7,23:30,7,0,0,0,0,0
UA,1/31/2022,1282,N472UA,IAD,23:44,23:34,69,67,-10,23:30,4,0,0,0,0,0
UA,2/1/2022,1282,N834UA,IAD,23:44,23:27,69,67,-17,23:22,5,0,0,0,0,0
UA,2/2/2022,1282,N876UA,IAD,23:44,23:25,69,63,-19,23:20,5,0,0,0,0,0
UA,2/3/2022,1282,,IAD,23:44,0:00,69,0,0,0:00,0,0,0,0,0,0
UA,2/4/2022,1282,N417UA,IAD,23:44,23:43,69,71,-1,23:31,12,0,0,0,0,0
UA,2/5/2022,1874,N831UA,IAD,23:44,23:31,69,64,-13,23:25,6,0,0,0,0,0
UA,2/6/2022,1874,N828UA,IAD,23:44,23:34,69,60,-10,23:29,5,0,0,0,0,0
UA,2/7/2022,1874,N876UA,IAD,23:44,23:30,69,64,-14,23:25,5,0,0,0,0,0
UA,2/8/2022,1874,N824UA,IAD,23:44,23:36,69,67,-8,23:29,7,0,0,0,0,0
UA,2/9/2022,1874,N436UA,IAD,23:44,23:57,69,63,13,23:53,4,0,0,0,0,0
UA,2/10/2022,1874,N445UA,IAD,23:44,23:29,69,66,-15,23:25,4,0,0,0,0,0
UA,2/11/2022,1094,N489UA,ORD,20:59,21:28,109,109,29,21:22,6,29,0,0,0,0
UA,2/11/2022,1200,N853UA,DEN,15:09,14:52,199,185,-17,14:47,5,0,0,0,0,0
UA,2/11/2022,1874,N66828,IAD,23:29,23:16,69,67,-13,23:10,6,0,0,0,0,0
UA,2/12/2022,1094,N838UA,ORD,20:59,21:47,109,98,48,21:41,6,39,0,0,0,9
UA,2/12/2022,1200,N818UA,DEN,15:09,15:25,199,196,16,15:20,5,16,0,0,0,0
UA,2/12/2022,1874,N62889,IAD,23:29,23:21,69,66,-8,23:16,5,0,0,0,0,0
UA,2/13/2022,1094,N880UA,ORD,20:59,20:52,109,104,-7,20:46,6,0,0,0,0,0
UA,2/13/2022,1200,N483UA,DEN,15:09,14:59,199,188,-10,14:53,6,0,0,0,0,0
UA,2/13/2022,1874,N68811,IAD,23:29,23:21,69,64,-8,23:15,6,0,0,0,0,0
UA,2/14/2022,1094,N823UA,ORD,20:59,20:47,109,99,-12,20:42,5,0,0,0,0,0
UA,2/14/2022,1200,N403UA,DEN,15:09,15:14,199,195,5,15:08,6,0,0,0,0,0
UA,2/14/2022,1874,N66848,IAD,23:29,23:19,69,67,-10,23:13,6,0,0,0,0,0
UA,2/15/2022,1094,N825UA,ORD,20:59,20:52,109,105,-7,20:48,4,0,0,0,0,0
UA,2/15/2022,1200,N873UA,DEN,15:09,14:55,199,188,-14,14:50,5,0,0,0,0,0
UA,2/15/2022,1874,N66893,IAD,23:29,23:04,69,61,-25,22:59,5,0,0,0,0,0
UA,2/16/2022,1094,N876UA,ORD,20:59,21:40,109,90,41,21:35,5,0,0,0,0,41
UA,2/16/2022,1200,N881UA,DEN,15:09,14:45,199,173,-24,14:40,5,0,0,0,0,0
UA,2/16/2022,1874,N68807,IAD,23:29,23:22,69,74,-7,23:18,4,0,0,0,0,0
UA,2/17/2022,1094,N825UA,ORD,20:59,22:40,109,103,101,22:33,7,0,0,0,0,101
UA,2/17/2022,1200,N821UA,DEN,15:09,15:28,199,182,19,15:24,4,19,0,0,0,0
UA,2/17/2022,1874,N28478,IAD,23:29,0:14,69,61,45,0:09,5,0,0,0,0,45
UA,2/18/2022,1094,N419UA,ORD,20:59,20:54,109,102,-5,20:48,6,0,0,0,0,0
UA,2/18/2022,1200,N838UA,DEN,15:09,14:52,199,183,-17,14:46,6,0,0,0,0,0
UA,2/18/2022,1874,N36469,IAD,23:29,23:42,69,67,13,23:36,6,0,0,0,0,0
UA,2/19/2022,1094,N424UA,ORD,20:59,21:11,109,95,12,21:05,6,0,0,0,0,0
UA,2/19/2022,1200,N460UA,DEN,15:09,15:16,199,194,7,15:11,5,0,0,0,0,0
UA,2/19/2022,1874,N64809,IAD,23:29,23:37,69,73,8,23:31,6,0,0,0,0,0
UA,2/20/2022,1094,N818UA,ORD,20:59,21:47,109,106,48,21:43,4,0,0,0,0,48
UA,2/20/2022,1200,N822UA,DEN,15:09,14:47,199,180,-22,14:41,6,0,0,0,0,0
UA,2/20/2022,1874,N69830,IAD,23:29,23:22,69,65,-7,23:17,5,0,0,0,0,0
UA,2/21/2022,1094,N836UA,ORD,20:59,20:40,109,100,-19,20:36,4,0,0,0,0,0
UA,2/21/2022,1200,N811UA,DEN,15:09,14:54,199,181,-15,14:49,5,0,0,0,0,0
